province,year,track,batch,university,major,major_group_code,plan_name,plan_count,subject_requirement,required_subjects,one_of_subjects,preferred_subjects,forbidden_subjects,tuition,duration_years,campus_name,is_new_program,is_cooperative_program,is_targeted_program,notes
广东,2026,物理,本科批,华南理工大学,工科试验班（骐骥班）（含计算机科学与技术（等普通类理工科专业））,1,工科试验班（骐骥班）（含计算机科学与技术（等普通类理工科专业））,35,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,工科试验班（AI先进技术拔尖班）（含计算机科学与技术（拔尖基地班）、信息工程（拔尖班）、自动化（拔尖班））,1,工科试验班（AI先进技术拔尖班）（含计算机科学与技术（拔尖基地班）、信息工程（拔尖班）、自动化（拔尖班））,92,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,工科试验班（卓越人才班）（含电气工程及其自动化（卓越班）、能源与动力工程（低碳与智慧能源卓越班）、软件工程（卓越班）、软件工程（工软卓越班）、电子科学与技术（卓越班）、食品科学与工程（未来食品卓越班））,1,工科试验班（卓越人才班）（含电气工程及其自动化（卓越班）、能源与动力工程（低碳与智慧能源卓越班）、软件工程（卓越班）、软件工程（工软卓越班）、电子科学与技术（卓越班）、食品科学与工程（未来食品卓越班））,140,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,工科试验班（院士特色班）（含机械类（院士特色班）、材料类（院士特色班）、建筑类（院士特色班）、智能建造（院士特色班））,1,工科试验班（院士特色班）（含机械类（院士特色班）、材料类（院士特色班）、建筑类（院士特色班）、智能建造（院士特色班））,99,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,工科试验班（理工交叉创新班）（含应用化学（拔尖基地班）、应用物理学（严济慈英才班）、工程力学（创新班））,1,工科试验班（理工交叉创新班）（含应用化学（拔尖基地班）、应用物理学（严济慈英才班）、工程力学（创新班））,60,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,自动化（“自动化+工商管理”双学士学位复合型人才培养项目）,2,自动化（“自动化+工商管理”双学士学位复合型人才培养项目）,25,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,电气工程及其自动化,2,电气工程及其自动化,235,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,物理学类（含应用物理学、光电信息科学与工程）,2,物理学类（含应用物理学、光电信息科学与工程）,87,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;理工外语体育类专业收费标准为 6850 元/生·学年
广东,2026,物理,本科批,华南理工大学,软件工程,2,软件工程,177,物理+化学,物理|化学,,,,6850,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;收费标准为 6850 元/生·学年；软件工程 3—4 年级为 16000 元/生·学年
广东,2026,物理,本科批,华南理工大学,金融科技,2,金融科技,32,物理+化学,物理|化学,,,,6060,4,,0,0,0,官方招生计划查询：https://admission.scut.edu.cn/30820/list.htm;查询范围：广东 / 2026 / 理工/物理类 / 普通类;学费依据：https://admission.scut.edu.cn/2026/0528/c30824a628133/page.htm;文科类专业收费标准按 6060 元/生·学年记录
