province,year,track,score,rank
广东,2025,历史,672,19
广东,2025,历史,671,23
广东,2025,历史,670,25
广东,2025,历史,669,33
广东,2025,历史,668,39
广东,2025,历史,667,43
广东,2025,历史,666,48
广东,2025,历史,665,54
广东,2025,历史,664,58
广东,2025,历史,663,71
广东,2025,历史,662,81
广东,2025,历史,661,89
广东,2025,历史,660,95
广东,2025,历史,659,106
广东,2025,历史,658,119
广东,2025,历史,657,125
广东,2025,历史,656,139
广东,2025,历史,655,152
广东,2025,历史,654,160
广东,2025,历史,653,169
广东,2025,历史,652,182
广东,2025,历史,651,203
广东,2025,历史,650,219
广东,2025,历史,649,244
广东,2025,历史,648,267
广东,2025,历史,647,290
广东,2025,历史,646,323
广东,2025,历史,645,358
广东,2025,历史,644,397
广东,2025,历史,643,442
广东,2025,历史,642,482
广东,2025,历史,641,524
广东,2025,历史,640,553
广东,2025,历史,639,600
广东,2025,历史,638,640
广东,2025,历史,637,696
广东,2025,历史,636,735
广东,2025,历史,635,792
广东,2025,历史,634,840
广东,2025,历史,633,912
广东,2025,历史,632,968
广东,2025,历史,631,1016
广东,2025,历史,630,1107
广东,2025,历史,629,1181
广东,2025,历史,628,1257
广东,2025,历史,627,1338
广东,2025,历史,626,1417
广东,2025,历史,625,1494
广东,2025,历史,624,1586
广东,2025,历史,623,1682
广东,2025,历史,622,1778
广东,2025,历史,621,1890
广东,2025,历史,620,2011
广东,2025,历史,619,2131
广东,2025,历史,618,2245
广东,2025,历史,617,2366
广东,2025,历史,616,2472
广东,2025,历史,615,2597
广东,2025,历史,614,2753
广东,2025,历史,613,2896
广东,2025,历史,612,3035
广东,2025,历史,611,3180
广东,2025,历史,610,3336
广东,2025,历史,609,3505
广东,2025,历史,608,3676
广东,2025,历史,607,3854
广东,2025,历史,606,4044
广东,2025,历史,605,4235
广东,2025,历史,604,4435
广东,2025,历史,603,4644
广东,2025,历史,602,4868
广东,2025,历史,601,5069
广东,2025,历史,600,5295
广东,2025,历史,599,5521
广东,2025,历史,598,5751
广东,2025,历史,597,5980
广东,2025,历史,596,6223
广东,2025,历史,595,6493
广东,2025,历史,594,6740
广东,2025,历史,593,6999
广东,2025,历史,592,7273
广东,2025,历史,591,7548
广东,2025,历史,590,7863
广东,2025,历史,589,8167
广东,2025,历史,588,8476
广东,2025,历史,587,8798
广东,2025,历史,586,9118
广东,2025,历史,585,9432
广东,2025,历史,584,9795
广东,2025,历史,583,10141
广东,2025,历史,582,10500
广东,2025,历史,581,10865
广东,2025,历史,580,11211
广东,2025,历史,579,11587
广东,2025,历史,578,11930
广东,2025,历史,577,12288
广东,2025,历史,576,12651
广东,2025,历史,575,13010
广东,2025,历史,574,13403
广东,2025,历史,573,13763
广东,2025,历史,572,14164
广东,2025,历史,571,14532
广东,2025,历史,570,14884
广东,2025,历史,569,15305
广东,2025,历史,568,15728
广东,2025,历史,567,16169
广东,2025,历史,566,16621
广东,2025,历史,565,17053
广东,2025,历史,564,17511
广东,2025,历史,563,17952
广东,2025,历史,562,18408
广东,2025,历史,561,18892
广东,2025,历史,560,19388
广东,2025,历史,559,19858
广东,2025,历史,558,20329
广东,2025,历史,557,20815
广东,2025,历史,556,21302
广东,2025,历史,555,21788
广东,2025,历史,554,22300
广东,2025,历史,553,22812
广东,2025,历史,552,23298
广东,2025,历史,551,23796
广东,2025,历史,550,24335
广东,2025,历史,549,24847
广东,2025,历史,548,25413
广东,2025,历史,547,25975
广东,2025,历史,546,26514
广东,2025,历史,545,27077
广东,2025,历史,544,27622
广东,2025,历史,543,28222
广东,2025,历史,542,28818
广东,2025,历史,541,29434
广东,2025,历史,540,30032
广东,2025,历史,539,30648
广东,2025,历史,538,31258
广东,2025,历史,537,31844
广东,2025,历史,536,32473
广东,2025,历史,535,33134
广东,2025,历史,534,33782
广东,2025,历史,533,34382
广东,2025,历史,532,35024
广东,2025,历史,531,35671
广东,2025,历史,530,36301
广东,2025,历史,529,36999
广东,2025,历史,528,37634
广东,2025,历史,527,38303
广东,2025,历史,526,38985
广东,2025,历史,525,39694
广东,2025,历史,524,40374
广东,2025,历史,523,41082
广东,2025,历史,522,41753
广东,2025,历史,521,42414
广东,2025,历史,520,43114
广东,2025,历史,519,43836
广东,2025,历史,518,44548
广东,2025,历史,517,45250
广东,2025,历史,516,45991
广东,2025,历史,515,46728
广东,2025,历史,514,47416
广东,2025,历史,513,48161
广东,2025,历史,512,48882
广东,2025,历史,511,49665
广东,2025,历史,510,50490
广东,2025,历史,509,51228
广东,2025,历史,508,51992
广东,2025,历史,507,52806
广东,2025,历史,506,53589
广东,2025,历史,505,54378
广东,2025,历史,504,55157
广东,2025,历史,503,55963
广东,2025,历史,502,56755
广东,2025,历史,501,57584
广东,2025,历史,500,58353
广东,2025,历史,499,59166
广东,2025,历史,498,60016
广东,2025,历史,497,60861
广东,2025,历史,496,61689
广东,2025,历史,495,62574
广东,2025,历史,494,63386
广东,2025,历史,493,64325
广东,2025,历史,492,65098
广东,2025,历史,491,65974
广东,2025,历史,490,66918
广东,2025,历史,489,67829
广东,2025,历史,488,68703
广东,2025,历史,487,69580
广东,2025,历史,486,70488
广东,2025,历史,485,71380
广东,2025,历史,484,72275
广东,2025,历史,483,73263
广东,2025,历史,482,74189
广东,2025,历史,481,75083
广东,2025,历史,480,76024
广东,2025,历史,479,76948
广东,2025,历史,478,77821
广东,2025,历史,477,78762
广东,2025,历史,476,79685
广东,2025,历史,475,80656
广东,2025,历史,474,81615
广东,2025,历史,473,82570
广东,2025,历史,472,83581
广东,2025,历史,471,84553
广东,2025,历史,470,85555
广东,2025,历史,469,86536
广东,2025,历史,468,87558
广东,2025,历史,467,88592
广东,2025,历史,466,89617
广东,2025,历史,465,90660
广东,2025,历史,464,91654
广东,2025,历史,463,92670
广东,2025,历史,462,93700
广东,2025,历史,461,94732
广东,2025,历史,460,95858
广东,2025,历史,459,96901
广东,2025,历史,458,97885
广东,2025,历史,457,98951
广东,2025,历史,456,99980
广东,2025,历史,455,101043
广东,2025,历史,454,102091
广东,2025,历史,453,103167
广东,2025,历史,452,104290
广东,2025,历史,451,105342
广东,2025,历史,450,106410
广东,2025,历史,449,107509
广东,2025,历史,448,108587
广东,2025,历史,447,109669
广东,2025,历史,446,110775
广东,2025,历史,445,111885
广东,2025,历史,444,112888
广东,2025,历史,443,113990
广东,2025,历史,442,115005
广东,2025,历史,441,116057
广东,2025,历史,440,117111
广东,2025,历史,439,118179
广东,2025,历史,438,119301
广东,2025,历史,437,120380
广东,2025,历史,436,121512
广东,2025,历史,435,122605
广东,2025,历史,434,123742
广东,2025,历史,433,124830
广东,2025,历史,432,125860
广东,2025,历史,431,127037
广东,2025,历史,430,128142
广东,2025,历史,429,129251
广东,2025,历史,428,130331
广东,2025,历史,427,131456
广东,2025,历史,426,132594
广东,2025,历史,425,133714
广东,2025,历史,424,134847
广东,2025,历史,423,135898
广东,2025,历史,422,137004
广东,2025,历史,421,138079
广东,2025,历史,420,139145
广东,2025,历史,419,140256
广东,2025,历史,418,141367
广东,2025,历史,417,142494
广东,2025,历史,416,143599
广东,2025,历史,415,144760
广东,2025,历史,414,145909
广东,2025,历史,413,147073
广东,2025,历史,412,148206
广东,2025,历史,411,149330
广东,2025,历史,410,150411
广东,2025,历史,409,151585
广东,2025,历史,408,152613
广东,2025,历史,407,153780
广东,2025,历史,406,154924
广东,2025,历史,405,156061
广东,2025,历史,404,157199
广东,2025,历史,403,158313
