province,year,track,score,rank
广东,2025,物理,697,19
广东,2025,物理,696,32
广东,2025,物理,695,39
广东,2025,物理,694,47
广东,2025,物理,693,57
广东,2025,物理,692,69
广东,2025,物理,691,78
广东,2025,物理,690,87
广东,2025,物理,689,105
广东,2025,物理,688,133
广东,2025,物理,687,150
广东,2025,物理,686,176
广东,2025,物理,685,205
广东,2025,物理,684,237
广东,2025,物理,683,266
广东,2025,物理,682,295
广东,2025,物理,681,330
广东,2025,物理,680,377
广东,2025,物理,679,411
广东,2025,物理,678,462
广东,2025,物理,677,510
广东,2025,物理,676,560
广东,2025,物理,675,642
广东,2025,物理,674,721
广东,2025,物理,673,790
广东,2025,物理,672,870
广东,2025,物理,671,936
广东,2025,物理,670,1003
广东,2025,物理,669,1097
广东,2025,物理,668,1182
广东,2025,物理,667,1279
广东,2025,物理,666,1376
广东,2025,物理,665,1472
广东,2025,物理,664,1578
广东,2025,物理,663,1701
广东,2025,物理,662,1825
广东,2025,物理,661,1948
广东,2025,物理,660,2089
广东,2025,物理,659,2232
广东,2025,物理,658,2372
广东,2025,物理,657,2529
广东,2025,物理,656,2697
广东,2025,物理,655,2845
广东,2025,物理,654,3043
广东,2025,物理,653,3230
广东,2025,物理,652,3383
广东,2025,物理,651,3585
广东,2025,物理,650,3792
广东,2025,物理,649,4006
广东,2025,物理,648,4226
广东,2025,物理,647,4438
广东,2025,物理,646,4675
广东,2025,物理,645,4924
广东,2025,物理,644,5166
广东,2025,物理,643,5448
广东,2025,物理,642,5734
广东,2025,物理,641,6004
广东,2025,物理,640,6295
广东,2025,物理,639,6603
广东,2025,物理,638,6959
广东,2025,物理,637,7317
广东,2025,物理,636,7659
广东,2025,物理,635,8015
广东,2025,物理,634,8360
广东,2025,物理,633,8730
广东,2025,物理,632,9102
广东,2025,物理,631,9474
广东,2025,物理,630,9850
广东,2025,物理,629,10242
广东,2025,物理,628,10670
广东,2025,物理,627,11061
广东,2025,物理,626,11492
广东,2025,物理,625,11964
广东,2025,物理,624,12432
广东,2025,物理,623,12908
广东,2025,物理,622,13376
广东,2025,物理,621,13873
广东,2025,物理,620,14378
广东,2025,物理,619,14895
广东,2025,物理,618,15408
广东,2025,物理,617,15971
广东,2025,物理,616,16493
广东,2025,物理,615,17051
广东,2025,物理,614,17622
广东,2025,物理,613,18205
广东,2025,物理,612,18818
广东,2025,物理,611,19415
广东,2025,物理,610,20036
广东,2025,物理,609,20682
广东,2025,物理,608,21322
广东,2025,物理,607,22045
广东,2025,物理,606,22708
广东,2025,物理,605,23405
广东,2025,物理,604,24091
广东,2025,物理,603,24758
广东,2025,物理,602,25508
广东,2025,物理,601,26228
广东,2025,物理,600,26988
广东,2025,物理,599,27766
广东,2025,物理,598,28531
广东,2025,物理,597,29336
广东,2025,物理,596,30131
广东,2025,物理,595,30924
广东,2025,物理,594,31760
广东,2025,物理,593,32651
广东,2025,物理,592,33523
广东,2025,物理,591,34343
广东,2025,物理,590,35158
广东,2025,物理,589,36022
广东,2025,物理,588,36929
广东,2025,物理,587,37840
广东,2025,物理,586,38783
广东,2025,物理,585,39765
广东,2025,物理,584,40785
广东,2025,物理,583,41752
广东,2025,物理,582,42752
广东,2025,物理,581,43757
广东,2025,物理,580,44792
广东,2025,物理,579,45812
广东,2025,物理,578,46800
广东,2025,物理,577,47868
广东,2025,物理,576,48986
广东,2025,物理,575,50077
广东,2025,物理,574,51128
广东,2025,物理,573,52244
广东,2025,物理,572,53307
广东,2025,物理,571,54542
广东,2025,物理,570,55692
广东,2025,物理,569,56910
广东,2025,物理,568,58084
广东,2025,物理,567,59354
广东,2025,物理,566,60575
广东,2025,物理,565,61836
广东,2025,物理,564,63021
广东,2025,物理,563,64290
广东,2025,物理,562,65510
广东,2025,物理,561,66789
广东,2025,物理,560,68128
广东,2025,物理,559,69412
广东,2025,物理,558,70746
广东,2025,物理,557,72077
广东,2025,物理,556,73429
广东,2025,物理,555,74783
广东,2025,物理,554,76147
广东,2025,物理,553,77554
广东,2025,物理,552,78904
广东,2025,物理,551,80319
广东,2025,物理,550,81695
广东,2025,物理,549,83144
广东,2025,物理,548,84612
广东,2025,物理,547,86135
广东,2025,物理,546,87666
广东,2025,物理,545,89208
广东,2025,物理,544,90713
广东,2025,物理,543,92214
广东,2025,物理,542,93732
广东,2025,物理,541,95292
广东,2025,物理,540,96825
广东,2025,物理,539,98390
广东,2025,物理,538,99935
广东,2025,物理,537,101511
广东,2025,物理,536,103195
广东,2025,物理,535,104755
广东,2025,物理,534,106293
广东,2025,物理,533,107881
广东,2025,物理,532,109524
广东,2025,物理,531,111214
广东,2025,物理,530,112996
广东,2025,物理,529,114677
广东,2025,物理,528,116332
广东,2025,物理,527,117960
广东,2025,物理,526,119647
广东,2025,物理,525,121385
广东,2025,物理,524,123093
广东,2025,物理,523,124908
广东,2025,物理,522,126594
广东,2025,物理,521,128289
广东,2025,物理,520,130005
广东,2025,物理,519,131771
广东,2025,物理,518,133455
广东,2025,物理,517,135184
广东,2025,物理,516,136893
广东,2025,物理,515,138620
广东,2025,物理,514,140395
广东,2025,物理,513,142204
广东,2025,物理,512,143986
广东,2025,物理,511,145769
广东,2025,物理,510,147552
广东,2025,物理,509,149384
广东,2025,物理,508,151175
广东,2025,物理,507,153017
广东,2025,物理,506,154772
广东,2025,物理,505,156639
广东,2025,物理,504,158412
广东,2025,物理,503,160236
广东,2025,物理,502,162025
广东,2025,物理,501,163758
广东,2025,物理,500,165626
广东,2025,物理,499,167475
广东,2025,物理,498,169297
广东,2025,物理,497,171228
广东,2025,物理,496,173025
广东,2025,物理,495,174781
广东,2025,物理,494,176620
广东,2025,物理,493,178416
广东,2025,物理,492,180218
广东,2025,物理,491,181963
广东,2025,物理,490,183772
广东,2025,物理,489,185688
广东,2025,物理,488,187524
广东,2025,物理,487,189390
广东,2025,物理,486,191183
广东,2025,物理,485,192931
广东,2025,物理,484,194729
广东,2025,物理,483,196471
广东,2025,物理,482,198253
广东,2025,物理,481,200024
广东,2025,物理,480,201802
广东,2025,物理,479,203564
广东,2025,物理,478,205413
广东,2025,物理,477,207245
广东,2025,物理,476,209049
广东,2025,物理,475,210850
广东,2025,物理,474,212626
广东,2025,物理,473,214466
广东,2025,物理,472,216208
广东,2025,物理,471,217954
广东,2025,物理,470,219774
广东,2025,物理,469,221580
广东,2025,物理,468,223377
广东,2025,物理,467,225140
广东,2025,物理,466,226882
广东,2025,物理,465,228607
广东,2025,物理,464,230354
广东,2025,物理,463,232147
广东,2025,物理,462,233849
广东,2025,物理,461,235571
广东,2025,物理,460,237278
广东,2025,物理,459,238974
广东,2025,物理,458,240709
广东,2025,物理,457,242362
广东,2025,物理,456,244021
