province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,历史,北京大学,专业组 205,669,28,本科批,24,历史,0,院校代码:10001;专业组:205;计划数:24
广东,2025,历史,中国人民大学,专业组 205,655,148,本科批,56,历史,0,院校代码:10002;专业组:205;计划数:56
广东,2025,历史,中国人民大学,专业组 208,666,47,本科批,6,历史,0,院校代码:10002;专业组:208;计划数:6
广东,2025,历史,清华大学,专业组 203,675,13,本科批,4,历史,0,院校代码:10003;专业组:203;计划数:4
广东,2025,历史,北京交通大学,专业组 205,610,3242,本科批,2,历史,0,院校代码:10004;专业组:205;计划数:2
广东,2025,历史,北京交通大学,专业组 207,609,3429,本科批,8,历史,0,院校代码:10004;专业组:207;计划数:8
广东,2025,历史,北京航空航天大学,专业组 206,641,493,本科批,6,历史,0,院校代码:10006;专业组:206;计划数:6
广东,2025,历史,北京理工大学,专业组 204,621,1840,本科批,16,历史,0,院校代码:10007;专业组:204;计划数:16
广东,2025,历史,北京科技大学,专业组 209,603,4596,本科批,9,历史,0,院校代码:10008;专业组:209;计划数:9
广东,2025,历史,北京化工大学,专业组 207,590,7555,本科批,12,历史,0,院校代码:10010;专业组:207;计划数:12
广东,2025,历史,北京服装学院,专业组 206,546,26327,本科批,3,历史,0,院校代码:10012;专业组:206;计划数:3
广东,2025,历史,北京印刷学院,专业组 205,557,20426,本科批,1,历史,0,院校代码:10015;专业组:205;计划数:1
广东,2025,历史,中国农业大学,专业组 205,614,2725,本科批,8,历史,0,院校代码:10019;专业组:205;计划数:8
广东,2025,历史,中国农业大学(中外合作办学),专业组 206,596,6000,本科批,6,历史,0,院校代码:10019;专业组:206;计划数:6
广东,2025,历史,中国农业大学,专业组 209,605,4208,本科批,7,历史,0,院校代码:10019;专业组:209;计划数:7
广东,2025,历史,北京林业大学,专业组 220,595,6372,本科批,12,历史,0,院校代码:10022;专业组:220;计划数:12
广东,2025,历史,北京林业大学,专业组 221,591,7300,本科批,4,历史,0,院校代码:10022;专业组:221;计划数:4
广东,2025,历史,北京林业大学,专业组 224,596,6004,本科批,2,历史,0,院校代码:10022;专业组:224;计划数:2
广东,2025,历史,北京林业大学,专业组 225,590,7654,本科批,2,历史,0,院校代码:10022;专业组:225;计划数:2
广东,2025,历史,北京中医药大学,专业组 208,594,6531,本科批,5,历史,0,院校代码:10026;专业组:208;计划数:5
