province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,物理,北京大学,专业组 206,689,99,本科批,35,物理,0,院校代码:10001;专业组:206;计划数:34
广东,2025,物理,中国人民大学,专业组 206,679,388,本科批,3,物理,0,院校代码:10002;专业组:206;计划数:3
广东,2025,物理,中国人民大学,专业组 207,672,823,本科批,39,物理,0,院校代码:10002;专业组:207;计划数:39
广东,2025,物理,清华大学,专业组 204,688,118,本科批,67,物理,0,院校代码:10003;专业组:204;计划数:67
广东,2025,物理,北京交通大学,专业组 208,620,13967,本科批,90,物理,0,院校代码:10004;专业组:208;计划数:90
广东,2025,物理,北京交通大学(中外合作办学),专业组 209,613,18152,本科批,5,物理,0,院校代码:10004;专业组:209;计划数:5
广东,2025,物理,北京交通大学(中外合作办学),专业组 210,611,19398,本科批,3,物理,0,院校代码:10004;专业组:210;计划数:3
广东,2025,物理,北京交通大学(中外合作办学),专业组 211,617,15604,本科批,2,物理,0,院校代码:10004;专业组:211;计划数:2
广东,2025,物理,北京交通大学,专业组 212,637,7166,本科批,2,物理,0,院校代码:10004;专业组:212;计划数:2
广东,2025,物理,北京交通大学,专业组 213,633,8612,本科批,5,物理,0,院校代码:10004;专业组:213;计划数:5
广东,2025,物理,北京工业大学,专业组 205,603,24588,本科批,13,物理,0,院校代码:10005;专业组:205;计划数:13
广东,2025,物理,北京航空航天大学,专业组 207,668,1173,本科批,107,物理,0,院校代码:10006;专业组:207;计划数:107
广东,2025,物理,北京航空航天大学(中外合作办学),专业组 210,646,4469,本科批,12,物理,0,院校代码:10006;专业组:210;计划数:12
广东,2025,物理,北京理工大学,专业组 205,666,1331,本科批,42,物理,0,院校代码:10007;专业组:205;计划数:42
广东,2025,物理,北京理工大学(中外合作办学),专业组 206,632,8848,本科批,28,物理,0,院校代码:10007;专业组:206;计划数:28
广东,2025,物理,北京理工大学,专业组 207,670,937,本科批,14,物理,0,院校代码:10007;专业组:207;计划数:14
广东,2025,物理,北京科技大学,专业组 212,620,14161,本科批,6,物理,0,院校代码:10008;专业组:212;计划数:6
广东,2025,物理,北京科技大学,专业组 213,619,14686,本科批,22,物理,0,院校代码:10008;专业组:213;计划数:22
广东,2025,物理,北京科技大学,专业组 214,616,16299,本科批,37,物理,0,院校代码:10008;专业组:214;计划数:37
广东,2025,物理,北京化工大学,专业组 208,609,20291,本科批,59,物理,0,院校代码:10010;专业组:208;计划数:59
广东,2025,物理,北京化工大学,专业组 209,607,22003,本科批,45,物理,0,院校代码:10010;专业组:209;计划数:45
广东,2025,物理,北京化工大学(中外合作办学),专业组 210,593,32547,本科批,7,物理,0,院校代码:10010;专业组:210;计划数:7
广东,2025,物理,北京化工大学(中外合作办学),专业组 211,593,32317,本科批,12,物理,0,院校代码:10010;专业组:211;计划数:12
广东,2025,物理,北京化工大学,专业组 212,612,18238,本科批,10,物理,0,院校代码:10010;专业组:212;计划数:10
广东,2025,物理,北京工商大学,专业组 204,566,60388,本科批,11,物理,0,院校代码:10011;专业组:204;计划数:11
广东,2025,物理,北京工商大学,专业组 205,558,70089,本科批,16,物理,0,院校代码:10011;专业组:205;计划数:16
广东,2025,物理,北京服装学院,专业组 207,535,104603,本科批,1,物理,0,院校代码:10012;专业组:207;计划数:1
广东,2025,物理,北京服装学院,专业组 208,533,106555,本科批,4,物理,0,院校代码:10012;专业组:208;计划数:4
广东,2025,物理,北京服装学院,专业组 209,534,105856,本科批,6,物理,0,院校代码:10012;专业组:209;计划数:6
广东,2025,物理,北京邮电大学,专业组 204,635,7767,本科批,113,物理,0,院校代码:10013;专业组:204;计划数:113
广东,2025,物理,北京邮电大学(中外合作办学),专业组 205,620,13955,本科批,31,物理,0,院校代码:10013;专业组:205;计划数:31
广东,2025,物理,北京邮电大学,专业组 206,657,2398,本科批,8,物理,0,院校代码:10013;专业组:206;计划数:8
广东,2025,物理,北京邮电大学(中外合作办学),专业组 207,612,18564,本科批,18,物理,0,院校代码:10013;专业组:207;计划数:18
广东,2025,物理,北京印刷学院,专业组 206,552,77981,本科批,1,物理,0,院校代码:10015;专业组:206;计划数:1
广东,2025,物理,北京印刷学院,专业组 207,543,91448,本科批,5,物理,0,院校代码:10015;专业组:207;计划数:5
广东,2025,物理,北京建筑大学,专业组 203,574,50596,本科批,2,物理,0,院校代码:10016;专业组:203;计划数:2
广东,2025,物理,北京建筑大学,专业组 204,557,71141,本科批,6,物理,0,院校代码:10016;专业组:204;计划数:6
广东,2025,物理,北京石油化工学院,专业组 203,548,83886,本科批,3,物理,0,院校代码:10017;专业组:203;计划数:3
广东,2025,物理,北京石油化工学院,专业组 204,552,78351,本科批,6,物理,0,院校代码:10017;专业组:204;计划数:6
广东,2025,物理,中国农业大学(中外合作办学),专业组 207,604,23636,本科批,5,物理,0,院校代码:10019;专业组:207;计划数:5
广东,2025,物理,中国农业大学,专业组 208,614,17428,本科批,7,物理,0,院校代码:10019;专业组:208;计划数:7
广东,2025,物理,中国农业大学,专业组 210,618,14948,本科批,71,物理,0,院校代码:10019;专业组:210;计划数:71
广东,2025,物理,北京林业大学,专业组 226,590,35094,本科批,18,物理,0,院校代码:10022;专业组:226;计划数:18
广东,2025,物理,北京林业大学,专业组 227,587,37298,本科批,9,物理,0,院校代码:10022;专业组:227;计划数:9
广东,2025,物理,北京林业大学,专业组 230,593,31810,本科批,5,物理,0,院校代码:10022;专业组:230;计划数:5
广东,2025,物理,北京林业大学,专业组 231,587,37411,本科批,9,物理,0,院校代码:10022;专业组:231;计划数:9
广东,2025,物理,北京林业大学,专业组 233,585,39242,本科批,17,物理,0,院校代码:10022;专业组:233;计划数:17
广东,2025,物理,北京林业大学,专业组 234,599,27312,本科批,30,物理,0,院校代码:10022;专业组:234;计划数:30
广东,2025,物理,北京林业大学(中外合作办学),专业组 235,574,50162,本科批,5,物理,0,院校代码:10022;专业组:235;计划数:5
广东,2025,物理,北京林业大学,专业组 237,586,38482,本科批,2,物理,0,院校代码:10022;专业组:237;计划数:2
广东,2025,物理,北京林业大学,专业组 238,595,30729,本科批,7,物理,0,院校代码:10022;专业组:238;计划数:7
广东,2025,物理,北京中医药大学,专业组 211,597,28849,本科批,4,物理,0,院校代码:10026;专业组:211;计划数:4
广东,2025,物理,北京中医药大学,专业组 214,602,24867,本科批,30,物理,0,院校代码:10026;专业组:214;计划数:30
广东,2025,物理,北京师范大学,专业组 213,639,6364,本科批,8,物理,0,院校代码:10027;专业组:213;计划数:8
广东,2025,物理,北京师范大学,专业组 215,645,4899,本科批,25,物理,0,院校代码:10027;专业组:215;计划数:25
广东,2025,物理,首都师范大学,专业组 210,599,27545,本科批,2,物理,0,院校代码:10028;专业组:210;计划数:2
广东,2025,物理,首都师范大学,专业组 211,611,18891,本科批,2,物理,0,院校代码:10028;专业组:211;计划数:2
广东,2025,物理,首都师范大学,专业组 212,599,27762,本科批,8,物理,0,院校代码:10028;专业组:212;计划数:8
广东,2025,物理,首都师范大学,专业组 213,594,31598,本科批,5,物理,0,院校代码:10028;专业组:213;计划数:5
广东,2025,物理,首都体育学院,专业组 205,554,75816,本科批,4,物理,0,院校代码:10029;专业组:205;计划数:4
